iteration,reward_mean,length_mean,games,loss
500,-1.0,2.0,10,0.024788275361061096
1000,-1.0,2.0,11,0.02278643473982811
1500,-0.9,2.1,10,0.013549567200243473
2000,-0.88,2.12,8,0.005891209468245506
2500,-0.88,2.12,8,0.007752525620162487
3000,-0.45,2.09,11,0.009097084403038025
3500,0.0,2.12,8,0.005388615187257528
4000,0.0,2.0,8,0.0028693689964711666
4500,0.0,2.0,8,0.0020239956211298704
5000,0.12,2.12,8,0.004889640957117081
5500,0.0,2.0,8,0.002806751523166895
6000,0.12,2.12,8,0.0034660925157368183
6500,0.12,2.12,8,0.004048759583383799
7000,0.0,2.0,8,0.003254821291193366
7500,0.12,2.12,8,0.002005381276831031
8000,0.38,2.38,8,0.002389629138633609
8500,0.5,2.5,8,0.0017920738318935037
9000,0.25,2.38,8,0.00237472215667367
9500,0.25,2.25,8,0.0017406661063432693
10000,0.38,2.38,8,0.0008926637237891555
10500,0.38,2.38,8,0.002792374463751912
11000,0.5,2.5,8,0.0028057824820280075
11500,1.67,4.0,9,0.0037246618885546923
12000,4.12,7.12,8,0.0027190321125090122
12500,4.38,7.38,8,0.004919175524264574
13000,3.88,6.88,8,0.005961384158581495
13500,3.5,6.5,8,0.003917517140507698
14000,3.0,6.0,8,0.005292755551636219
14500,3.38,6.38,8,0.008857405744493008
15000,3.12,6.12,8,0.005120479501783848
15500,4.62,7.62,8,0.007620984688401222
16000,4.75,7.75,8,0.00861709751188755
16500,4.38,7.38,8,0.007759024389088154
17000,3.25,6.25,8,0.009679808281362057
17500,6.75,9.75,8,0.008571010082960129
18000,6.75,9.75,8,0.003840678371489048
18500,4.62,7.62,8,0.004043280147016048
19000,6.88,9.88,8,0.004776943475008011
19500,7.62,10.62,8,0.004590734839439392
20000,6.62,9.62,8,0.004931204486638308
20500,6.75,9.75,8,0.010461819358170033
21000,7.75,10.75,8,0.00334164802916348
21500,7.0,10.0,8,0.003988364711403847
22000,8.62,11.62,8,0.004658459685742855
22500,8.88,11.88,8,0.004900434520095587
23000,9.5,12.5,8,0.012629585340619087
23500,10.62,13.62,8,0.0033810636959969997
24000,5.88,8.88,8,0.0037573417648673058
24500,9.5,12.5,8,0.0053010787814855576
25000,5.25,8.25,8,0.004035164602100849
25500,10.0,13.0,8,0.0061881872825324535
26000,7.75,10.75,8,0.011415403336286545
26500,8.38,11.38,8,0.004096479620784521
27000,9.5,12.5,8,0.019827090203762054
27500,9.38,12.38,8,0.008439414203166962
28000,9.38,12.38,8,0.004125457722693682
28500,11.75,14.75,8,0.00972140021622181
29000,10.25,13.25,8,0.005334655288606882
29500,11.25,14.25,8,0.014549709856510162
30000,13.25,16.25,8,0.010751988738775253
30500,12.5,15.5,8,0.006666246801614761
31000,11.25,14.25,8,0.021097909659147263
31500,11.38,14.38,8,0.012711555697023869
32000,10.12,13.12,8,0.010163386352360249
32500,10.88,13.88,8,0.02297922968864441
33000,14.88,17.88,8,0.008351970463991165
33500,11.5,14.5,8,0.008331780321896076
34000,8.88,11.88,8,0.004778502508997917
34500,15.88,18.88,8,0.0052519552409648895
35000,15.75,18.75,8,0.01211271807551384
35500,12.88,15.88,8,0.01878178119659424
36000,18.0,21.0,8,0.011795753613114357
36500,9.88,12.88,8,0.011924771592020988
37000,16.25,19.25,8,0.006374587304890156
37500,16.25,19.25,8,0.019299142062664032
38000,12.0,15.0,8,0.006579871755093336
38500,14.5,17.5,8,0.008483602665364742
39000,12.0,15.0,8,0.02342217043042183
39500,11.5,14.5,8,0.007777506485581398
40000,11.12,14.12,8,0.023355672135949135
40500,11.0,14.0,8,0.010998493060469627
41000,13.12,16.12,8,0.013293950818479061
41500,15.88,18.88,8,0.024524670094251633
42000,15.5,18.5,8,0.007072849664837122
42500,13.0,16.0,8,0.01138244941830635
43000,13.38,16.38,8,0.013904723338782787
43500,13.0,16.0,8,0.007499820552766323
44000,14.62,17.62,8,0.015918567776679993
44500,16.0,19.0,8,0.007630745880305767
45000,15.38,18.38,8,0.005494863260537386
45500,10.88,13.88,8,0.018399829044938087
46000,13.5,16.5,8,0.012959115207195282
46500,15.25,18.25,8,0.022423570975661278
47000,11.88,14.88,8,0.015978578478097916
47500,13.5,16.5,8,0.010619398206472397
48000,12.0,15.0,8,0.010415226221084595
48500,11.88,14.88,8,0.016227947548031807
49000,15.0,18.0,8,0.00702773267403245
49500,16.12,19.12,8,0.014052586629986763
50000,17.0,20.0,8,0.006582926958799362
50500,14.75,17.75,8,0.008524934761226177
51000,12.12,15.12,8,0.013787833042442799
51500,15.25,18.25,8,0.014390011318027973
52000,12.75,15.75,8,0.0064257122576236725
52500,15.88,18.88,8,0.009215496480464935
53000,12.0,15.0,8,0.006102617830038071
53500,14.75,17.75,8,0.006762565579265356
54000,16.0,19.0,8,0.010204121470451355
54500,16.38,19.38,8,0.017387110739946365
55000,13.75,16.75,8,0.01892913691699505
55500,13.62,16.62,8,0.009992214851081371
56000,14.38,17.38,8,0.01631489396095276
56500,19.5,22.5,8,0.014316604472696781
57000,15.25,18.25,8,0.011915823444724083
57500,17.75,20.75,8,0.010702971369028091
58000,14.62,17.62,8,0.020457768812775612
58500,14.25,17.25,8,0.01763456128537655
59000,15.62,18.62,8,0.010187467560172081
59500,14.0,17.0,8,0.023852428421378136
60000,13.0,16.0,8,0.009586791507899761
60500,16.38,19.38,8,0.013503874652087688
61000,14.12,17.12,8,0.017862189561128616
61500,13.0,16.0,9,0.008204616606235504
62000,17.62,20.62,8,0.016292428597807884
62500,22.75,25.75,8,0.015481848269701004
63000,15.62,18.62,8,0.018325265496969223
63500,17.88,20.88,8,0.015597878955304623
64000,24.0,27.0,8,0.019312633201479912
64500,18.56,21.56,9,0.017048131674528122
65000,16.12,19.12,8,0.01581449620425701
65500,17.75,20.75,8,0.022915439680218697
66000,18.38,21.38,8,0.01042679138481617
66500,15.38,18.38,8,0.01869773119688034
67000,20.5,23.5,8,0.01244674064218998
67500,16.75,19.75,8,0.02843918651342392
68000,17.62,20.62,8,0.025275420397520065
68500,23.75,26.75,8,0.013834599405527115
69000,18.38,21.38,8,0.009031756781041622
69500,22.12,25.12,8,0.009459082968533039
70000,16.38,19.38,8,0.011052223853766918
70500,19.75,22.75,8,0.014649835415184498
71000,20.62,23.62,8,0.011773379519581795
71500,18.0,21.0,8,0.011068049818277359
72000,18.38,21.38,8,0.00895015336573124
72500,19.38,22.38,8,0.019595917314291
73000,15.12,18.12,8,0.010049134492874146
73500,20.5,23.5,8,0.007796492427587509
74000,16.5,19.5,8,0.014348875731229782
74500,15.62,18.62,8,0.009884780272841454
75000,18.25,21.25,8,0.014065824449062347
75500,15.5,18.5,8,0.010099208913743496
76000,17.62,20.62,8,0.017814436927437782
76500,18.38,21.38,8,0.012553940527141094
77000,22.75,25.75,8,0.01070542261004448
77500,21.88,24.88,8,0.013574808835983276
78000,16.12,19.12,8,0.01721489056944847
78500,18.12,21.12,8,0.015169125981628895
79000,20.12,23.12,8,0.009866686537861824
79500,16.5,19.5,8,0.013174109160900116
80000,19.5,22.5,8,0.014924549497663975
80500,21.25,24.25,8,0.015926118940114975
81000,18.25,21.25,8,0.012576678767800331
81500,16.62,19.62,8,0.01805071160197258
82000,18.0,21.0,8,0.012487899512052536
82500,17.12,20.12,8,0.00972805730998516
83000,23.62,26.62,8,0.014419492334127426
83500,17.62,20.62,8,0.014024272561073303
84000,17.38,20.38,8,0.011423824355006218
84500,19.62,22.62,8,0.016222096979618073
85000,21.5,24.5,8,0.01176534779369831
85500,16.12,19.12,8,0.010466556064784527
86000,16.5,19.5,8,0.008360978215932846
86500,16.25,19.25,8,0.01744387298822403
87000,13.25,16.25,8,0.010397056117653847
87500,14.62,17.62,8,0.011541880667209625
88000,18.38,21.38,8,0.015374651178717613
